FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value,OPC Average,OPC Log2 Fold Change,OPC P-Value,microglia Average,microglia Log2 Fold Change,microglia P-Value,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,pericyte Average,pericyte Log2 Fold Change,pericyte P-Value,endothelial stalk Average,endothelial stalk Log2 Fold Change,endothelial stalk P-Value,ependymal Average,ependymal Log2 Fold Change,ependymal P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value,exclude_debris Average,exclude_debris Log2 Fold Change,exclude_debris P-Value
ENSMUSG00000005360,Slc1a3,0.3822466440174182,-0.15374526140188194,0.8744972084919279,0.5935722433931382,0.4987516050538613,0.8487292945821563,2.744905842138701,2.727177425054074,0.005313523074099575,6.724736993446658,5.8822452679599735,5.1524105327684715e-192,1.6170059064112046,1.9409084917956991,0.5137031950921281,0.409142924837583,-0.04133005565791259,1,0.36340473126624584,-0.20938131560521334,1,0.05191845476496061,-3.091512115175432,1.1385606544132517e-10,0.067660820656413,-4.767819640535734,1.1512868374286712e-200,0.5383136094674559,0.35639519078725324,0.9960904898224664
ENSMUSG00000024411,Aqp4,0.040362687972565855,-1.4138580099637834,0.0006861506570536424,0.08191072545878846,-0.32331401957531325,1,0.19052045690937,0.9061602927904575,0.845496462466923,1.63419328766295,5.836915785419996,2.1438284882672386e-180,0.02012870422918512,-1.959421181261006,1,0.10727527907326871,0.08136172653941154,1,0.43954667496012595,2.110871185515511,0.07131693452586026,0.013876822010911132,-2.947090815950222,5.440992447420366e-09,0.023933527841802766,-4.140097325942086,1.0739791136183027e-146,0.19784175390684275,0.9649283751368221,0.9960904898224664
ENSMUSG00000007097,Atp1a2,0.26595414698755027,-1.3409973306563376,0.0004055317601521241,1.8166228016134043,1.521269164386886,0.06403428296364487,0.9279051882808206,0.5236528359342971,0.9769857295838392,10.207816214900632,5.835643054632728,7.373809608206732e-189,7.52142581363884,3.562508043654989,0.004599349312965594,1.6540351168738874,1.3655808217048029,0.4860015132349177,1.470923912268138,1.1911131469604288,0.49368093586670625,0.08541423203267715,-2.9893824745354673,2.862559353259962e-10,0.11274568752927676,-4.6266268143285,2.4315350671000516e-190,0.8971893491124264,0.47468968313273974,0.9960904898224664
ENSMUSG00000000202,Btbd17,0.0793266689361814,-0.7544813209243753,0.09242072743741034,0.13801396207439698,0.09231002320036241,1,0.21168939656596666,0.7205672362492095,0.9188314521590492,2.0543815723205707,5.823078062362144,4.425935038706964e-183,0.026838272305580158,-1.971228450954543,1,0.12224392266488761,-0.0687558910550563,1,0.06575895137198734,-0.9220848765679563,1,0.028710666229471306,-2.237612223512392,3.546485250644207e-06,0.02976606824022529,-4.16373586396366,1.8127257574256182e-151,0.138029130632681,0.1223213334253499,0.9960904898224664
ENSMUSG00000026424,Gpr37l1,0.14486608306985269,-1.0678524491140944,0.009299521209758282,1.9624912168139863,2.8440431334780927,3.2557486103593315e-08,0.35634381755271055,0.29092144624837957,1,4.616610407972206,5.81936948889881,5.577370339381304e-186,0.06038611268755536,-2.1403123894387535,1,0.32432061115174265,0.15304075445249188,1,0.716426470210599,1.2982399341671114,0.43372930429819073,0.031103221748593916,-3.3014455770942703,1.4221045589223311e-11,0.04531950930268535,-4.827117803192336,2.4155981482916793e-204,0.24845243513882578,-0.2204898565138833,0.9960904898224664
ENSMUSG00000030088,Aldh1l1,0.06933590458653639,0.028523242393429182,1,0.04937084822173551,-0.440966062954641,1,0.07056313218865555,0.1137990386399288,1,1.0726010111780035,5.813126713406656,5.035382839547209e-179,0.04025740845837024,-0.549796477798659,1,0.06985367009422148,0.08094046859291781,1,0.20419884899722388,1.611780179225549,0.2785845096434193,0.008373944316929132,-3.0596046516753845,3.66650587860434e-09,0.013341098152713587,-4.4310416720373,3.688247945816725e-156,0.09201942042178732,0.4965644052823799,0.9960904898224664
ENSMUSG00000048960,Prex2,0.06713793642961449,-2.5488333696465553,6.640688797168458e-10,0.23899978798249233,-0.6394545558940432,1,0.41985063652250054,0.18219955611962257,1,5.80015032330742,5.769332005353503,3.858099411127162e-182,1.7780355402446855,2.263584857544138,0.3001195305694912,1.6590246647377604,2.1826923669423306,0.02756878276018143,0.4291636826382332,0.2136174435118472,0.9866099746858319,0.2452369407100674,-0.6290445591931868,0.28259115830723097,0.07902421832920171,-4.2894834371844945,1.847749983889028e-163,0.4324912759824004,0.2266246361528481,0.9960904898224664
ENSMUSG00000006522,Itih3,0.2707497138753799,0.7612169885962221,0.017518148926614338,0.09313137278191017,-0.8369212982283698,1,0.2822525287546222,0.7714109990970341,0.8959816719214425,2.599591679020644,5.752482187352166,2.8164178964763594e-178,0.046966976534765274,-1.651566002181772,1,0.15467598378006187,-0.09405442847078449,1,0.11075191810018921,-0.5573593239636967,1,0.02344704408740157,-2.8922728870337715,3.367804984656223e-09,0.028073290710798064,-4.689579679217782,3.962766748717869e-191,0.15643301471703844,-0.06173609324117546,0.9960904898224664
ENSMUSG00000023913,Pla2g7,0.16664594935207883,-1.43325351929868,0.0003248397791175607,0.7349523996644718,0.781425922372704,0.5761343454522271,0.8538138994827322,0.9910507397036451,0.7810422500350497,6.701457067962892,5.749680068706526,5.715036928271495e-181,0.22812531459743135,-0.8885006792633681,1,0.543860717162153,0.3391398919264723,1,0.4741566493664351,0.1422886595218864,1,0.27394760693953873,-0.685264444552421,0.22510771722191816,0.09184575110159605,-4.285723379367269,1.5493078031190445e-163,0.4831019572143834,0.17074644794563043,0.9960904898224664
ENSMUSG00000019437,Tlcd1,0.03456804464977174,-0.9848042892535633,0.02378716972578461,0.24685424110867754,1.945373477195104,0.00323676711525918,0.08467575862638667,0.40399661447657964,1,1.0277655991351933,5.724140885846897,1.2948367218308558e-171,0.053676544611160316,-0.14925854821493045,1,0.07234844402615798,0.16769247298430612,1,0.10036892577829648,0.640756751633103,0.8554578213401873,0.015551610874296958,-2.138714636574331,1.8868460936484483e-05,0.013626021103211238,-4.350314627388117,5.166947192218271e-150,0.09201942042178732,0.5340540932804072,0.9960904898224664
ENSMUSG00000022122,Ednrb,0.026975063744041537,-1.4839424441201339,0.00040890744915594564,0.47799957596498466,2.819356697984613,7.155347194782273e-08,0.1093728548924161,0.6326128673621105,0.9626504636038857,1.120885301070261,5.710972228539995,6.499325902064133e-171,0.17444876998627104,1.3115095179851806,0.9921549835099307,0.11226482693714168,0.6591256763252704,1,0.19727685411596205,1.469832894918913,0.36360952542127917,0.012680544251349828,-2.5618866425364595,3.7479214820054854e-07,0.01220140635072298,-4.688562965972576,9.323674428049321e-173,0.08741844940069796,0.3340979620228244,0.9960904898224664
ENSMUSG00000021318,Gli3,0.011389471358595315,-2.868290280527138,1.2906498562360474e-10,0.028051618307804265,-1.4626770605650181,0.8193470273812933,0.10231654167355055,0.40589845884585474,1,1.2039457759444419,5.609272631067106,1.3205553688580644e-163,0.44954106111846764,2.521118965107706,0.19643044848788907,0.07484321795809445,-0.047353100712257845,1,0.1384398976252365,0.8315092208818915,0.7546900194006188,0.01794416639341957,-2.1970849517275237,8.492039814259324e-06,0.02369888541198117,-3.6801151303838884,2.082842071647423e-116,0.0690145653163405,-0.12163855052318295,0.9960904898224664
ENSMUSG00000015224,Cyp2j9,0.06993535044751509,-0.28969801541551155,0.6914570629957282,0.5038070648081646,2.663891250864468,6.827203166809802e-07,0.10584469828298333,0.3658705077368887,1,1.2729233329333811,5.586422082068082,1.1081793458436964e-163,0.013419136152790079,-2.0844325289516634,1,0.07733799189003093,-0.08889741095312198,1,0.03807097184694004,-1.035457171897892,1,0.009809477628402697,-3.1487675699663122,7.96618379900847e-10,0.01592216488075114,-4.497297198393248,9.266914125515383e-175,0.0828174783796086,0.03961384178959104,0.9960904898224664
ENSMUSG00000097156,Gm3764,0.09331373902568442,-1.871147507457996,3.076777140631684e-06,2.1341671208577484,2.813283321887922,5.4631551897233865e-08,0.2998933118017861,-0.10610204699559533,1,4.8462481914478825,5.541387551549574,2.3551713665872485e-164,0.02012870422918512,-3.611905817343887,1,0.207066236350728,-0.6409700250439763,1,0.1384398976252365,-1.2052351083919455,1,0.12249884257907757,-1.4591263086383892,0.0024296938207768667,0.07114693675661957,-4.238732306358576,8.13257867884293e-160,0.2622553482020939,-0.2932906402773183,0.9960904898224664
ENSMUSG00000022132,Cldn10,0.11089748428105965,-0.7148844007573452,0.11231980874766419,0.2479763058409897,0.4940615761025353,0.8593118239619821,0.30694962502065165,0.8054485793934649,0.8792216526993054,2.6113753450062545,5.482841125634809,4.071756376845865e-158,0.04025740845837024,-1.9301412589113438,1,0.18710804489523614,0.09182716475021646,1,0.055375959050094604,-1.6020262934488998,1,0.06244569904910009,-1.556629105094899,0.0013112761721786248,0.048051417592751076,-3.856203061571153,4.4545732742725083e-131,0.28065923228645134,0.6801287606193649,0.9960904898224664
ENSMUSG00000035948,Acss3,0.016784484107403623,-2.294148589263008,1.0265485261856747e-07,0.02356335937855558,-1.6887348186028412,0.7003289903457848,0.08467575862638667,0.15757805144652037,1,1.1585355509267237,5.479241469094072,5.803157304899776e-153,1.2345605260566872,4.010437336322258,0.0002171869152465672,0.09979095727745928,0.3744217947828625,1,1.076370204036214,3.843922447226456,2.8148888772698286e-07,0.011962777595613044,-2.76271744187557,5.2186217010094404e-08,0.018687593517934233,-4.095273818712397,3.5120391979043473e-143,0.07361553633742986,-0.01802048910392795,0.9960904898224664
ENSMUSG00000048148,Nwd1,0.027374694318027335,-1.9447161411963427,2.8014545070993998e-06,0.11893886162509008,0.25315859139510977,1,0.11290101150184889,0.20290450525022008,1,1.4424931605311897,5.357907652528615,3.764827259315037e-147,0,-3.9222958258661444,1,0.07733799189003093,-0.3424835765363863,1,0.8410223780733118,3.1027529316072147,0.00035699373691945607,0.05455026583599548,-0.9193023865992203,0.10863107800129888,0.02859285609111731,-3.7698630754753983,8.852002508257498e-124,0.07361553633742986,-0.37434121000735754,0.9960904898224664
ENSMUSG00000014361,Mertk,0.0715338727434583,-2.3251295961225225,1.171450062208804e-08,2.9375654691932627,3.249516003302459,5.315697135000203e-12,6.18485853633566,4.278432836528119,4.3602317904615623e-10,4.854582979584046,5.348906562258228,2.2448191864175605e-150,0.7514716245562444,1.150555314559354,1,0.4615331774082491,0.44756504120632523,1,0.48800063912895875,0.5286979363558113,0.8751275954897143,0.025600344054611916,-3.79565631618145,2.8608101286768564e-14,0.0520403388997182,-4.842783665281951,1.9615583503264873e-206,0.39108253679259614,0.21251741242748667,0.9960904898224664
ENSMUSG00000030029,Lrig1,0.0719335033174441,-0.9225157367841672,0.03064565518374157,0.1570890625237039,0.2591572399991118,1,0.13759810776787834,0.08778159062763491,1,1.8862487771600316,5.342073350358588,4.5531443494759906e-147,0.5568941503407883,2.0899905474616856,0.4334572852580303,0.12473869659682409,-0.060906966347534564,1,0.1384398976252365,0.09581528395173367,1,0.05837835466659166,-1.2223881766732494,0.01701086360446256,0.03890036282970884,-3.702578527275689,3.207788985247629e-120,0.12422621756941289,-0.04578649442479055,0.9960904898224664
ENSMUSG00000000567,Sox9,0.01598522295943202,-1.2914311763027984,0.003607095417847805,0.01683097098468256,-1.0939460462422517,1,0.049394192532058886,0.4735820700249258,1,0.5308397823273775,5.25553019307131,7.026184549932662e-132,0.053676544611160316,0.6588980938082285,1,0.039916382910983705,0.15437622172693555,1,1.4051649608961507,5.423683631326197,7.856854542804267e-22,0.007416922109280088,-2.3798758225103667,8.074359657610239e-06,0.006771110117708906,-4.587599305527992,2.3687819945903518e-151,0.05981262327416176,0.7563004411047687,0.9960904898224664
ENSMUSG00000028517,Plpp3,0.4076231854655165,-0.5013168016569756,0.2602845173008363,2.1341671208577484,1.9637097384467253,0.002905738502147452,0.7585536710280472,0.4264990843921749,1,7.840448977742749,5.224248536019237,4.845804167345955e-142,1.0668213241468112,0.9169628270342649,1,0.7035262488060878,0.317773470514927,1,0.5502985930603151,-0.03612101146701119,1,0.09953030959550054,-2.5728465986675846,3.70818669608674e-08,0.16094794668405601,-3.764411080966979,2.885561240794178e-127,0.5889242906994389,0.06261672376057104,0.9960904898224664
ENSMUSG00000002688,Prkd1,0.13027956711937097,-0.7177553662990528,0.10796641928783424,1.1287971207060437,2.512767133687849,7.043825725051611e-06,0.1446544209867439,-0.502141902840529,1,2.8821122561878405,5.206546513453137,3.93769542660428e-139,0.1341913615279008,-0.5787440914458926,1,0.31683628935593317,0.6127486940963678,1,0.13151790274397468,-0.6370727032939412,1,0.23638448528931377,0.19082593732626796,0.8372303535930515,0.04364349194681681,-4.31797765619025,5.239092883339564e-165,0.32206797147625565,0.6407490056491263,0.9960904898224664
ENSMUSG00000064036,Mro,0.03416841407578595,-1.5173822097947052,0.00023065420966073978,0.6519196094733711,2.9013570527732595,1.1255904787659646e-08,0.11290101150184889,0.30385854823392666,1,1.295915851929694,5.201041254450055,3.214774630370901e-136,0.07380524884034544,-0.23455958551025669,1,0.06985367009422148,-0.3841822621222355,1,0.4533906647226496,2.296727364317287,0.035309764465709104,0.03540982168301461,-1.4524806730720448,0.0035912117652316922,0.02322960055233798,-4.022441401005205,5.1930385553102276e-141,0.0690145653163405,-0.3612791575954204,0.9960904898224664
ENSMUSG00000053861,Gm9925,0.02197968156921903,-3.187003137718818,2.440982099789851e-13,0.08864311385266148,-1.0916932747645967,1,0.25049911926972723,0.4166330590549523,1,2.5978672400959204,5.172891008503034,3.214774630370901e-136,0.053676544611160316,-1.6644582101175978,1,0.11974914873295113,-0.6417371304169115,1,0.2076598464378548,0.14858220613642947,1,0.0703411322622047,-1.4809859191382304,0.0022774383789462083,0.074214048517859,-3.1373537525628965,2.8474889817618317e-86,0.08741844940069796,-1.0539145400277898,1
ENSMUSG00000024998,Plce1,0.04535807014738836,-2.400100622078098,6.1547852711651015e-09,1.4957122881721234,2.818246631926744,5.4631551897233865e-08,0.19757677012823555,-0.18265089652288768,1,3.104564877477169,5.165391318460595,3.3286615560878825e-136,1.348623183355403,2.5804534014474223,0.14859031742223122,0.2893937761046319,0.3591554606318186,1,1.547065855962018,2.797859655386935,0.0024354202719667306,0.08062912099443192,-1.5457507525876562,0.0012893782398354322,0.05648178489276984,-4.012278172419134,8.208850392787368e-143,0.276058261265362,0.2983034215185669,0.9960904898224664
ENSMUSG00000052430,Bmpr1b,0.04355973256445226,-2.042792191778242,6.051176129122246e-07,0.05498117188329636,-1.6220597838948643,0.707508520464821,0.17993598708107167,0.09589983934228208,1,2.3317288327135968,5.157193713580636,1.5690432629286939e-134,0.026838272305580158,-2.3625916892758774,1,0.08981186154971334,-0.8975899564591265,1,0.11075191810018921,-0.5900384947961519,1,0.04019493272125983,-2.1456018197215396,6.555293204651606e-06,0.067660820656413,-3.1127304496040655,1.7329894925154562e-84,0.22084660901228959,0.3925947389906983,0.9960904898224664
ENSMUSG00000048402,Gli2,0.21200401949946718,1.7028730291892646,1.0714676846883875e-10,0.2569528236994871,1.8236609963443946,0.007455204388252355,0.06703497557922278,-0.094145569805689,1,1.0041982671639724,5.087051510949244,7.146477393655264e-128,0.16102963383348096,1.1544238377444218,1,0.03742160897904723,-0.9179096930010582,1,0.159205882269022,1.1177822010498497,0.5868090518722124,0.006459899901631044,-3.5619346343079736,2.1499265963366487e-11,0.011078474722291056,-4.899605390458525,1.2848347357633426e-188,0.07821650735851922,0.13609923744610386,0.9960904898224664
