FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value
ENSMUSG00000019877,Serinc1,0.8245692125052767,-0.1993569161990395,0.8806045064497008,1.016118328971372,0.11746858509668234,0.9502930330886427,0.9272901224813878,-0.10381616360254554,0.6873603463606837
ENSMUSG00000024566,Atp9b,0.873140908884988,-0.1986680270748292,0.8820199647855637,0.905103752884083,-0.14593746316998288,0.970981523978253,1.0418626689285613,0.35843303366932,0.10635986229742371
ENSMUSG00000034135,Sik3,1.5560187230754854,-0.19809743490170084,0.8828965349165193,1.2970043469163663,-0.47490762899859684,0.47239850494209246,1.7446837869384753,-0.11720271659498493,0.6359310429344438
ENSMUSG00000021745,Ptprg,2.1647456635028735,-0.19263169977629513,0.8920705472853833,2.2253158883359387,-0.15248027408923592,0.9621284452681393,2.6108998369720133,0.49588631973855235,0.01989372139315988
ENSMUSG00000044252,Osbpl1a,1.0642662230418403,-0.19256157691684012,0.8920705472853833,0.856534875845894,-0.5220879185527261,0.4084228044148786,1.1595023271369742,-0.2800213080934381,0.18736537925604946
ENSMUSG00000026083,Eif5b,0.7478316803550819,-0.191609862472916,0.8927485869145835,1.057270283900281,0.33734343139498885,0.5761828240982556,0.8316230518084115,-0.14487609689260417,0.5453197245659471
ENSMUSG00000024287,Thoc1,1.1320941540809637,-0.18971673077458506,0.8927485869145835,1.4927153883805957,0.2314958594160169,0.7621485167049474,1.3270202618560347,0.25718439347850686,0.27299937402650853
ENSMUSG00000015222,Map2,1.745707004795068,-0.189156371288403,0.893109176975616,2.9763390657885256,0.63266964535564,0.14159092311985025,2.0275787564355263,0.18579712523175984,0.45878943444601583
ENSMUSG00000025982,Sf3b1,0.902456370605287,-0.18304899510870065,0.9012901525527701,1.005112573583408,-0.02077773589139436,1,1.0126161660686552,-0.043955499531812624,0.894349344418431
ENSMUSG00000029629,Phf14,1.0665654749414715,-0.18289231342250473,0.9013775008336025,1.0017629958566363,-0.27957923539138557,0.7700633431878592,1.2505938704284294,0.2979722306617697,0.1915962009447609
ENSMUSG00000025261,Huwe1,0.9478665956230053,-0.1811913818490834,0.9034821927350543,1.1443593047963438,0.10456430276529531,0.9677552951474576,1.081885963386702,0.09005336432382363,0.7665644378151754
ENSMUSG00000078919,Dpm1,0.757316094441061,-0.17495480536964259,0.914659921171399,1.141727493725309,0.4544779495312858,0.37557539672722723,0.8400869394555476,-0.08663687211661913,0.7425210576678126
ENSMUSG00000030161,Gabarapl1,0.6754052455166958,-0.17266701197094814,0.9193153282997585,1.21589671481811,0.73571544326611,0.06503813073525637,0.7038267284234352,-0.4654886698365619,0.017220783024576296
ENSMUSG00000018451,6330403K07Rik,0.6662082379181705,-0.17014172476146328,0.9246524376341757,2.4033220189586606,1.892153250225586,6.780923826432905e-12,0.6320261448980269,-0.9268562011807879,2.071937031012936e-07
ENSMUSG00000020390,Ube2b,1.1260586178444314,-0.16846553594781855,0.9262379710873014,1.3962954009599546,0.15861657599666262,0.8852902051302926,1.2649070586475466,0.03419251442660903,0.9622871811297917
ENSMUSG00000020716,Nf1,1.0559314349056768,-0.1661126842804923,0.9310506494109261,1.290305191462823,0.1384980693742088,0.9203382969809605,1.185078351987528,0.039036621612314526,0.9446355188787744
ENSMUSG00000038518,Jarid2,0.849860983401221,-0.1645052713325063,0.9344474699092294,0.6677622453871201,-0.5301146347565402,0.39743313949520903,1.0125491253744203,0.5569581812475587,0.008229254272194913
ENSMUSG00000005873,Reep5,0.9237244506768767,-0.16282299026023886,0.9374409929515792,1.0108547068293023,-0.027122011601046728,1,0.8826913006417259,-0.8714207650727672,1.1733552254866934e-06
ENSMUSG00000022199,Slc22a17,0.8127855465196662,-0.15246526950338235,0.956211125185964,1.6015766645006744,0.9011491910368326,0.012416729039306101,0.7965104882029654,-0.7184574608409867,9.125060474271094e-05
ENSMUSG00000034868,Myl12b,0.7029962683122715,-0.1495106977396266,0.9616893472199428,1.0194679066981436,0.42027990324211006,0.43573591721840205,0.7254305921405807,-0.4337824523470055,0.02812106463125623
ENSMUSG00000039630,Hnrnpu,1.1154245778086367,-0.14718410165652598,0.965235741316295,1.2766676250038242,0.05739979883570229,1,1.2348728276303824,0.03115278210485295,0.9737042087190267
ENSMUSG00000034647,Ankrd12,1.295915851929694,-0.145522039685059,0.9683089820823149,1.642489363877671,0.21581962553466688,0.7873505156969302,1.4420956135099687,0.07793168197495381,0.809627476833622
ENSMUSG00000076432,Ywhaq,1.0740380436152732,-0.14463648173258975,0.9707994479519483,1.4848199551674912,0.35107670482003683,0.5519739641781292,0.9207704149670591,-1.2750481368842834,1.1197911688781663e-13
ENSMUSG00000071658,Gng3,0.8038759454085949,-0.13403325635208113,0.9873056544451532,1.2170929925776712,0.503586959505594,0.3002288630093991,0.818432795217726,-0.4517005283843929,0.021316548055193545
ENSMUSG00000006651,Aplp1,1.5039981488463272,-0.1314979969242306,0.992095894951303,1.6606727858230028,0.018384288054709708,1,0.833030906387341,-2.549187253833066,3.0020891197924643e-57
ENSMUSG00000040037,Negr1,4.989089215712477,-0.12975704642321118,0.9941461737246624,7.074786670045555,0.40604943244633196,0.45678034840302767,5.749728380869058,0.4610601465261124,0.031430677155763864
ENSMUSG00000020863,Luc7l3,1.3536845559079307,-0.1294810004392108,0.9945798928514453,1.4106507340746903,-0.06793738814995115,1,1.5225444465916589,0.24656733354013538,0.2973366752551306
ENSMUSG00000029817,Tra2a,0.9605124810709775,-0.12668988452428243,1,1.2448466365994935,0.26950940927384376,0.6953040805353392,1.046237074227378,0.011540371619476894,1
ENSMUSG00000031701,Dnaja2,0.7668005085270402,-0.1253756059221472,1,1.0340624953647917,0.33230526490932205,0.5858791989987919,0.8265614793936884,-0.057199405844826884,0.8490925504386153
ENSMUSG00000018501,Ncor1,1.5801608680216142,-0.12061353589697166,1,1.7391486068502244,0.024497613884185476,1,1.7445161852028883,0.14429135966167628,0.5859014009099538
ENSMUSG00000027309,4930402H24Rik,1.554294284150762,-0.11939233728575849,1,1.6389005305989872,-0.039751977382875614,1,1.744281542773067,0.28420483595515456,0.21659632809952434
ENSMUSG00000003119,Cdk12,1.0924320588123237,-0.11225932734516067,1,1.2690114473426317,0.11564997288882448,0.9517392357152147,1.198285368751772,0.13646553291202324,0.6126928100366992
ENSMUSG00000036104,Rab3gap1,0.7688123539392175,-0.108361080080217,1,1.0134865179003372,0.3145905846922008,0.6149932607510238,0.8371203887356602,0.09879694144942552,0.7376089451517266
ENSMUSG00000058672,Tubb2a,1.9816677309947308,-0.10737832658961433,1,3.218944195427558,0.6419353300068935,0.13344269860333816,2.084228143063883,-0.1421946728791046,0.5538630966421182
ENSMUSG00000020704,Asic2,2.528889683106981,-0.10534442955106571,1,12.700163206606632,2.5838524953017723,2.091050938302793e-25,2.2239912303697604,-1.0678402976896406,1.1747463415113205e-09
ENSMUSG00000027091,Zc3h15,0.8849245748705984,-0.1030186888665544,1,1.3403096018124856,0.5364054982770232,0.25262970869295837,0.9181055473712282,-0.2137867302698507,0.3367078135204071
ENSMUSG00000054452,Tle5,0.8179588632938366,-0.09762286246450066,1,1.1596716601187285,0.4387334977079701,0.4028819200988709,0.7879795598615946,-0.6206504559063317,0.0009228430229183033
ENSMUSG00000040591,1110051M20Rik,0.8142225789569358,-0.09753180754198462,1,1.0328662176052303,0.26623082314341895,0.7019429959966669,0.8802107949550404,0.09883910482723299,0.7374194871026454
ENSMUSG00000054863,Tafa5,1.1185860491706296,-0.09517161692705242,1,0.7718384104689536,-0.6558830849573758,0.24395794778572943,1.2054922433820068,0.08780846697698591,0.7749245372049438
ENSMUSG00000022186,Oxct1,1.5183684732190228,-0.09386735906438437,1,1.4896050662057363,-0.12385306188687528,1,1.6945038273037711,0.38324227121990473,0.08091493067161692
ENSMUSG00000022812,Gsk3b,1.4266858037212247,-0.09111904845550833,1,1.862604471636951,0.3173959766017289,0.6103281615815611,1.5397739050099875,0.1199288247363205,0.666292690734727
