FeatureID,FeatureName,Bergmann glia Average,Bergmann glia Log2 Fold Change,Bergmann glia P-Value,Purkinje Average,Purkinje Log2 Fold Change,Purkinje P-Value,endothelial stalk Average,endothelial stalk Log2 Fold Change,endothelial stalk P-Value,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,microglia Average,microglia Log2 Fold Change,microglia P-Value,OPC Average,OPC Log2 Fold Change,OPC P-Value,MLI Average,MLI Log2 Fold Change,MLI P-Value,PLI Average,PLI Log2 Fold Change,PLI P-Value,fibroblast Average,fibroblast Log2 Fold Change,fibroblast P-Value,pericyte Average,pericyte Log2 Fold Change,pericyte P-Value,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value,granule Average,granule Log2 Fold Change,granule P-Value,UBC Average,UBC Log2 Fold Change,UBC P-Value,Golgi Average,Golgi Log2 Fold Change,Golgi P-Value
ENSMUSG00000033208,S100b,1.3186388591485028,2.0354769061989972,5.9601901325631744e-12,0.10092638263248158,-2.0375162164263325,3.6820349422428314e-10,0.5722976188256015,0.6004065318903227,0.9663585631264449,0.9327283855923083,1.3708209792047612,0.0025376677193797905,0.5254570200129915,0.4741549442958136,0.9392647372113022,1.068465247835006,1.5050399540877768,0.5100071525665958,0.2994748613569799,-0.3741653058632082,0.42639311351504106,0.21975318480993322,-0.789575694904268,1,0.5627027256132783,0.5773130813971183,0.8444603348327229,0.5435773056474894,0.5231969263852392,1,1.2855537442113008,1.8675635606814311,1.7719698326894884e-05,0.28089520966003007,-0.9034882189956182,1.3278288561459634e-07,0.20981585799279168,-0.8575704549948102,1,0.15443778509624237,-1.31781957637975,0.3147287743604185
ENSMUSG00000027422,Rrbp1,0.8684963405388529,2.024483626321853,6.9278217779612485e-12,0.2119548447239674,-0.27448580452710836,0.4377262611358482,0.7386500020755035,1.581423854139328,0.13871706013217205,0.7308356425915585,1.6358927285620797,0.00010907749439543418,2.599362263252673,3.395953723551199,0.017081562423165143,0.4128984347565786,0.7220939073557935,1,0.10754769900438264,-1.3122984465686278,0.00014611122746835642,0.19751625539464238,-0.3469583149999904,1,0.8314696824157866,1.7656702665783306,0.023431445345166755,0.781392376868266,1.6426393357534643,0.9217516536009684,0.5755696388291883,1.2518056909350213,0.012340779984946778,0.1552520434979481,-1.343401931372128,1.136435637985991e-15,0.1763836608400941,-0.5116230024904755,1,0.186018070966846,-0.4434642462857501,0.9696241008401374
ENSMUSG00000031214,Ophn1,1.433041733161801,2.0153591957590202,8.133591330572443e-12,0.016286062679235803,-4.838978227715752,1.8865387845292091e-34,0.38437052375489306,-0.11723334101744998,1,0.4049115809823801,-0.043451406346332266,1,3.056281411090057,2.890423398077485,0.10500342620381606,0.810101899770948,0.964515352677306,0.9327227517433087,0.3419053714616941,-0.3143998507569876,0.5340533185758333,0.36625530801655537,-0.18693021068167082,1,0.3779816231955008,-0.14220375748000502,1,0.2038414896178085,-1.0180914977261566,1,0.04280946573075589,-3.316442390150649,7.016795744821245e-05,0.41767265795050373,0.005955895088664898,1,0.36487208271823385,-0.19281190475713528,1,0.3797784055664852,-0.1377655631709822,1
ENSMUSG00000030310,Slc6a1,2.0661741991382634,2.0152936896220535,9.148525737256628e-12,0.05768570606964102,-3.5360587146895526,3.591702938601801e-23,0.10730580352980028,-2.4904548076834856,0.6506356129173412,1.940583393480513,1.8038235934312463,9.815422718068741e-06,0.0888453898572691,-2.724101321107228,1,1.091404049765927,0.8652497842055138,1,2.9166828957352746,3.068326960565859,2.9644465314971703e-46,1.7200918930063225,1.5381439228158214,0.6143525394076836,0.5577588518259411,-0.10897803408556905,1,0.07077829500618352,-3.036386700090743,1,1.1017995544432682,0.9103416556006716,0.1131578492354713,0.03732062794425184,-5.26634454770413,4.831508148563422e-179,0.31241811822003596,-0.9489806294274437,1,1.5329681992930442,1.4110049034075112,0.009511343547474741
ENSMUSG00000071856,Mcc,3.261028419923651,2.003204225761961,1.1050311462678553e-11,0.051029663061605515,-4.387738897434268,1.513417977381127e-31,0.899324829583088,-0.08778876480119246,1,1.2758656133378057,0.4339491045658014,0.6244763459665557,0.3274587226167918,-1.5391085184508524,1,0.09658442918282541,-3.2955712299719666,1,0.18641601160759658,-2.4789060446269264,4.517688060861679e-12,0.2125588841167509,-2.17367859292093,1,0.8359641131315475,-0.19450200440328666,1,0.13023206281137767,-2.850223016334165,1,0.10103759496623319,-3.2768804111576704,7.982573551838939e-05,1.0540247394027884,0.3817267566046792,0.04212119949020319,0.2144271955310948,-2.162706926881309,0.8875065428934323,1.7289697154705972,0.8872133020496628,0.22418528938260518
ENSMUSG00000030342,Cd9,0.45342158187754694,2.0286770181394482,1.1614201055594262e-11,0.008685900095592428,-4.06714813924596,5.398656717357293e-26,0.3332725220740358,1.3700784216039263,0.1800397040086793,0.5952216327512143,2.3691431145491557,1.9575874952710166e-10,1.5027563084429516,3.550829475090448,0.005110765559477543,3.2995655619582727,4.8157434666724885,4.0963632280079596e-13,0.015195794287186403,-3.23587255205283,2.0123838308258395e-16,0.04054969481611863,-1.6775115282181714,1,1.0903488916436206,3.1887632556771903,2.982240219290306e-09,0.06228489960544149,-1.0137378495505462,1,1.090915791969347,3.4160681861324735,2.5057397681268128e-24,0.02764556468097897,-3.3607467953972305,5.130838485120653e-83,0.025362356460667125,-2.3476949703906858,0.8472301046720719,0.010798420329948344,-3.608560814513067,0.00020965024772883254
ENSMUSG00000017754,Pltp,0.5909600689476747,2.0520518165427166,1.293089547491845e-11,0.0096300196712003,-4.28403942363855,3.7051627417510934e-27,10.340532273482816,7.1450243475261805,1.963297633374359e-102,0.2565887849292397,0.6331196456873907,0.36288464579440827,0.16499858116349975,-0.012071352179364947,0.9392647372113022,0.21731496566135716,0.37504516839138713,1,0.018887730223157748,-3.2871513792273617,2.4814485098692617e-16,0.020274847408059314,-3.02050009788598,1,0.4642746929381122,1.4933158979067622,0.11078522137718971,0.6341735232554042,1.9218627751294504,0.7482276374257467,0.02013496057675383,-3.0899701578064245,0.00036671706720363693,0.02972384609493612,-3.6534838676949963,6.098500956653504e-93,0.013257595422621452,-3.619607058432948,0.4406434624839405,0.006519800953931076,-4.68419294493108,5.1483704810398805e-06
ENSMUSG00000032181,Scg3,1.4953439352518458,1.9988204306053894,1.3322012981475202e-11,0.13760542814484744,-1.793326011006537,1.8347352925001577e-08,0.22028916280191801,-0.9990756727344379,1,1.1869041098482322,1.5203370451459426,0.00044927685376741747,0.17007546058391512,-1.3525856710046116,1,0.4346299313227143,-0.012651617647496671,1,0.3735276053480573,-0.25669634503568184,0.6526425929530051,0.43950636961986644,0.002460789164868471,1,0.11460798325190572,-1.9455486213688578,0.5773636376745723,0.12740093101113031,-1.7595418112219765,1,0.14620520923300528,-1.613681184160605,0.0650152370513402,0.3899032807597571,-0.39317104059959174,0.03127950759786375,0.5153169699053729,0.233922134325793,1,0.38690943785984727,-0.18673086438449116,1
ENSMUSG00000055320,Tead1,1.0070367636075048,1.9945367471764996,1.612217265684885e-11,0.015294737124847536,-4.435042016472676,1.7057307223757848e-30,0.3446276335586707,0.221049617465231,1,0.7753968296921224,1.4686080910808317,0.000843926036563437,0.06346099275519221,-2.1732412715668445,1,0.41652035085093453,0.49564347852987756,1,0.5006586167084619,0.8692936116434034,0.002228897690999873,0.24460622356819947,-0.276429329883938,1,0.7123672684481198,1.2894011958671494,0.20620168701081207,0.47279901064130586,0.6796182696460142,1,0.02303729723646609,-3.7140011843472727,1.1740874372362445e-05,0.2347573622701813,-0.7242383667777923,2.816565161953172e-05,0.2294140425305799,-0.3700176958598749,1,0.0839424372818626,-1.8443269989447442,0.07871150618102675
ENSMUSG00000025351,Cd63,0.8159402431617246,1.999917971085953,1.6976818314214967e-11,0.019165627384839814,-3.7979535846445787,2.102960752318097e-24,0.451933437088471,0.929296809985825,0.4979790624859841,2.411130224777081,3.8622565155115325,2.3579114955761077e-38,0.8605310617604064,1.8537677201654,0.489006832225452,0.5976161555687322,1.3300275127853227,0.6501997424696838,0.052008141011074586,-2.320292698750838,8.604125927228436e-11,0.15565850590703603,-0.620485068768104,1,1.266081132629876,2.4777525069793445,6.559348597486492e-05,1.7326526617513724,2.870222759965396,0.14476755667660926,0.5737556784168681,1.3224363846631535,0.007132781698336573,0.09623769509226267,-2.2305818629462344,3.4675124489411864e-40,0.15678547630230585,-0.6112146017032778,1,0.08455366862129364,-1.5233732332817351,0.19281734427785893
