FeatureID,FeatureName,ne Average,ne Log2 Fold Change,ne P-Value,no Average,no Log2 Fold Change,no P-Value
ENSMUSG00000092094,Zfp804b,4.536203003699519,2.61619931353447,5.265684271687032e-14,0.739792703691501,-2.61619931353447,5.265684271685984e-14
ENSMUSG00000030209,Grin2b,8.739648668377011,2.603326839737708,5.539545954610021e-14,1.4382296117613977,-2.603326839737708,5.539545954607344e-14
ENSMUSG00000055540,Epha6,4.756221697242465,2.59867168548888,6.376491978530077e-14,0.7851650693914622,-2.59867168548888,6.376491978531346e-14
ENSMUSG00000039419,Cntnap2,19.806551735877505,2.5956905407989304,6.502289732503004e-14,3.2769261365204874,-2.5956905407989304,6.50228973250319e-14
ENSMUSG00000032452,Clstn2,2.183113311127874,2.5715861086165575,1.1437236316749025e-13,0.367144257532802,-2.5715861086165575,1.1437236316746425e-13
ENSMUSG00000062991,Nrg1,3.8327572765713067,2.5661571413997146,1.4002999756350607e-13,0.6471140681797766,-2.5661571413997146,1.4002999756350607e-13
ENSMUSG00000046159,Chrm3,2.7436740479611403,2.5650747809026155,1.368881801982016e-13,0.4635419394133756,-2.5650747809026155,1.368881801982055e-13
ENSMUSG00000111627,Gm48749,1.292183371641739,2.5601863823059006,1.4208468870905464e-13,0.21897745019784626,-2.5601863823059006,1.4208468870899405e-13
ENSMUSG00000021301,Hecw1,2.865360451135054,2.541880893209341,1.787193831268814e-13,0.4919554536713842,-2.541880893209341,1.787193831268814e-13
ENSMUSG00000037492,Zmat4,3.577056103902176,2.54070532104138,1.8972955624062577e-13,0.6146839838434108,-2.54070532104138,1.8972955624057723e-13
ENSMUSG00000087301,Gm13629,1.54239493213761,2.53999570242172,1.949888454061142e-13,0.2650936251715775,-2.53999570242172,1.9498884540611974e-13
ENSMUSG00000100826,Snhg14,4.994787216093935,2.539972274425649,1.789260213911274e-13,0.8588021874946783,-2.539972274425649,1.789260213911274e-13
ENSMUSG00000063919,Srrm4,2.565726873700829,2.5283465204156492,2.3195220038850255e-13,0.4446491838596212,-2.5283465204156492,2.3195220038850255e-13
ENSMUSG00000041014,Nrg3,23.713946027674506,2.5229365974124254,2.426156547657641e-13,4.126356327165666,-2.5229365974124254,2.426156547657641e-13
ENSMUSG00000059742,Kcnh7,3.8888164517304373,2.5225860343592243,2.588238951261074e-13,0.676717677275817,-2.5225860343592243,2.588238951261148e-13
ENSMUSG00000057378,Ryr3,3.360138886163332,2.522013021759016,2.8021284134781383e-13,0.5849316128926164,-2.522013021759016,2.802128413478218e-13
ENSMUSG00000033721,Vav3,4.599069918248652,2.518037702533937,2.8344787757024404e-13,0.8028677301071849,-2.518037702533937,2.8344787757024404e-13
ENSMUSG00000035653,Lrfn5,6.433158649761988,2.5153063470784227,2.8344787757024404e-13,1.1252346693590414,-2.5153063470784227,2.8344787757024404e-13
ENSMUSG00000041216,Clvs1,1.300976055546366,2.515195637190199,3.173004732175348e-13,0.22745687591882263,-2.515195637190199,3.173004732175348e-13
ENSMUSG00000028176,Lrrc7,11.367079403200435,2.510885221552036,3.117377948562599e-13,1.9944501866864977,-2.510885221552036,3.117377948562599e-13
ENSMUSG00000027016,Zfp385b,2.189533366042364,2.5073543716975206,3.7022266017461413e-13,0.3849956801032786,-2.5073543716975206,3.7022266017452997e-13
ENSMUSG00000050315,Synpo2,3.8141018996096374,2.4873240186002095,4.871804600570362e-13,0.6801391999351584,-2.4873240186002095,4.871804600570362e-13
ENSMUSG00000004698,Hdac9,8.5831792140601,2.433655592916593,1.2750217089011849e-12,1.588776608772417,-2.433655592916593,1.2750217089011849e-12
ENSMUSG00000004113,Cacna1b,1.918541917659014,2.4219014896624715,1.598294986075467e-12,0.35792102253805574,-2.4219014896624715,1.598294986075467e-12
ENSMUSG00000022494,Shisa9,2.3646271825629017,2.421246793258031,1.647203711086349e-12,0.44137642305503383,-2.421246793258031,1.647203711086349e-12
ENSMUSG00000007653,Gabrb2,2.2806237104088183,2.4205224312349687,1.67625761072963e-12,0.4259051901606208,-2.4205224312349687,1.67625761072963e-12
ENSMUSG00000031137,Fgf13,4.299281267024222,2.419722745178608,1.646360713119083e-12,0.8034627775262008,-2.419722745178608,1.6463607131194574e-12
ENSMUSG00000070866,Zfp804a,2.9167519052090127,2.4192792463361013,1.7686609757926973e-12,0.5452121976733061,-2.4192792463361013,1.7686609757926973e-12
